name,email,password,image,mobile,experience,degree,category,gender,clinicName,clinicAddress,clinicNo,clinicTiming,,,,,,,
G S Lavekar,lavekar@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692119910_13G S Lavekar.webp?alt=media&token=image,8890077843,47 Years,"Ph.D - Ayurveda, MD - Ayurveda",627cae7a412fc0e68820c493,Male,Lavekar Clinic,"Air India Apartment, C-51, Plot-9, Sector-3 Dwarka,  Delhi",,"MON-FRI
07:30 PM - 09:00 PM
SAT-SUN
10:00 AM - 07:30 PM",,,,,,,
Jyoti Monga,jyoti@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692146181_14Jyoti Monga.webp?alt=media&token=image,87711298021,22 Years,BAMS,627cae31412fc0e68820c48d,Female,Dr Monga Medi Clinic,"20, National Park Road, Lajpat Nagar-IV,  Delhi",,"MON-SAT
10:00 AM - 08:00 PM",,,,,,,
Ashish Sharma,ashish@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692176795_15Ashish Sharma.jpg?alt=media&token=image,9008876845,16 Years,"M.Sc - Psychology, PGDEMS, BAMS",627cadc6412fc0e68820c487,Male,The Arogyam Ayurveda,"GH-8/69, Ground Floor, Sehyog Apartment, Near Gate No.-3 Paschim Vihar,  Delhi",,"MON, WED-SUN
10:00 AM - 06:30 PM",,,,,,,
Malik Ayurvedacharya,malik@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692195077_16Malik Ayurvedacharya.webp?alt=media&token=image,9991256456,16 Years,BAMS,627cae9f412fc0e68820c495,Male,Ayurveda Sanjeevani,B-63 Main Market opp khaneja complex shakarpur laxminagar delhi,,"MON-SAT
09:30 AM - 08:30 PM",,,,,,,
Hardik Chandra Kalal,hardik@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692214260_17Hardik Chandra Kalal.webp?alt=media&token=image,8779600435,6 Years,MD - Ayurveda,627cae9f412fc0e68820c495,Male,Chiranjeevi Ayurved Hospital,"No.401, Rudraksh Complex, Near Goverdhannathi ji Haveli, Alkapuri,  Vadodara",,"MON-SAT
05:00 PM - 09:00 PM
09:00 AM - 01:00 PM",,,,,,,
Divyang Kadakia,divyang@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692257574_18Divyang Kadakia.webp?alt=media&token=image,8769005498,38 Years,"MD - Obstetrtics & Gynaecology, MBBS
Gynaecologist",627cae62412fc0e68820c491,Male,"Priyal Clinic
","Sahjanand Complex, Ayurvedic College Road, Outside Panigate, Relief Colony, Satyam Park Society,  Vadodara",,"MON-FRI
11:30 AM - 08:00 PM
SAT
11:30 AM - 04:00 PM",,,,,,,
Sushma Baxi,sushma@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692278251_19Sushma Baxi.webp?alt=media&token=image,6264457895,43 Years,"MD, MBBS, Gynaecologist",627cad2b412fc0e68820c482,Female,Oasis Fertility,"Emerald One, 4th Floor, Windward Business Park, Jetalpur Road,  Vadodara",,"MON-SAT
10:00 AM - 02:00 PM",,,,,,,
Susmita Mukherjee,susmita@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692293835_20Susmita Mukherjee.webp?alt=media&token=image,6269006543,33 Years,"MBBS, DGO, MD - Obstetrtics & Gynaecology",627cae62412fc0e68820c491,Female,Dr. Sushmita Mukherjee's Fertility & Laparoscopic Clinic,"Shop No. 310, Third Floor, The Mark Building. Landmark: Near Saket Square, IndoreIndore",,"MON-FRI, SUN
09:00 AM - 12:00 PM",,,,,,,
Sonal Shrivastava,sonal@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692314514_21Sonal Shrivastava.webp?alt=media&token=image,7890065456,22 Years,"MD - Medicine, MBBS Bachelor of Medicine and Bachelor of Surgery, DNB, Endocrinologist",627cae4b412fc0e68820c48f,Female,Sovin Hormone Clinic,"E-35, HIG, begind Rohit Eye Hospital, MIG Road, near LIG square, AB Road,  Indore",,"MON-TUE, THU-FRI
03:30 PM - 05:00 PM",,,,,,,
Abhyudaya Verma,abhyudaya@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692332981_22Abhyudaya Verma.webp?alt=media&token=image,6264009871,24 Years,"MBBS, MD - Medicine, DNB - Endocrinology, Diabetes, Metabolism, Fellow [FACE]
Endocrinologist",627cae4b412fc0e68820c48f,Male,SEWA : Superspeciality Endocrinology & Women Care Centre,"No.109, Onam Plaza, Near Industries House, A.B. RoadIndore",,"Available today
MON-FRI
05:00 PM - 07:00 PM
TUE, SAT
09:00 AM - 10:30 AM",,,,,,,
Iqbal Nabi Qureshi,iqbal@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692353752_23Iqbal Nabi Qureshi.webp?alt=media&token=image,9807123456,24 Years,"MBBS, MD - Medicine, DNB - Endocrinology, Diabetes, Metabolism, Fellow [FACE]
Endocrinologist",627cade9412fc0e68820c489,Male,SEWA : Superspeciality Endocrinology & Women Care Centre,"No.109, Onam Plaza, Near Industries House, A.B. RoadIndore",,"MON-FRI
05:00 PM - 07:00 PM
TUE, SAT
09:00 AM - 10:30 AM",,,,,,,
Rita Gupta,rita@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692376686_24Rita Gupta.webp?alt=media&token=image,6264789009,10 Years,"MD - General Medicine, Post Doctoral Fellowship in diabetes and endocrine",627cade9412fc0e68820c489,Female,Rita Gupta GBL hospital,"Bapat square, near barod hospital, sukhliya,  Indore",,"MON-SAT
06:00 PM - 08:30 PM
10:00 AM - 02:00 PM",,,,,,,
Deepika Gorani,deepika@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692423831_25 Deepika Gorani.webp?alt=media&token=image,7789097654,19 Years,"Bachelor of Ayurveda, Medicine and Surgery (BAMS)",627cade9412fc0e68820c489,Female,Yuvan Clinic,"239-240-241 Vikram Tower,First Floor,  Indore",,"MON-SAT
05:00 PM - 08:00 PM",,,,,,,
Tanzim Farooqui,tanzim@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692441420_26Tanzim Farooqui.jpg?alt=media&token=image,6768905543,28 Years,BAMS,627cad2b412fc0e68820c482,Male,Farooqui Clinic,"Madina Nagar Chourha, Azad Nagar, Landmark: Near Ali Medical, Indore",,"MON-SAT
10:00 AM - 01:00 PM",,,,,,,
Shital Joshi,shital@joshi,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692456046_27Shital Joshi.jpeg?alt=media&token=image,9898004563,17 Years,BAMS,627cadc6412fc0e68820c487,Female,Arogyadham Clinic,"778, Shubham Residency, Usha Nagar Extension, Landmark: Near Dargha, Indore,  Indore",,"MON-SAT
10:00 AM - 01:00 PM",,,,,,,
